title,description,url,publicationDate,category,authors,text
More Than 200 Republicans Urge Supreme Court to Weigh Overturning Roe v. Wade,Two House Democrats joined them in signing a legal brief in a case that is certain to inject the divisive politics of abortion into the 2020 presidential race.,https://www.nytimes.com/2020/01/02/us/politics/republicans-abortion-supreme-court.html,2020-01-03,U.S.,By Sheryl Gay Stolberg,"WASHINGTON — More than 200 Republican members of Congress on Thursday asked the Supreme Court to consider overturning Roe v. Wade, the landmark 1973 ruling that established a woman’s right to an abortion, in a brief urging the justices to uphold a Louisiana law that severely restricts access to the procedure."
"‘Maz and Bricks’ Review: Marching for Rights, With Signs of Romance","Set in Dublin during the run-up to Ireland’s vote to repeal its abortion ban, this play by Eva O’Connor too easily pairs up two damaged souls.",https://www.nytimes.com/2020/01/12/theater/maz-and-bricks-review.html,2020-01-13,Theater,By Laura Collins-Hughes,"Aboard a tram crawling through Dublin, Maz fills in the bold block letters on a protest sign for the march she’s about to join. Across from her, a guy in track pants yammers loudly into his phone — some strutting, ridiculous mess about having slept with his ex’s cousin the night before."
Who Will Be Left Standing in the Supreme Court?,The Trump administration is doing its best to kick plaintiffs out of lawsuits it opposes.,https://www.nytimes.com/2020/01/16/opinion/supreme-court-trump.html,2020-01-16,Opinion,By Linda Greenhouse,"Pop quiz No. 1: What do the following have in common: an abortion clinic in Louisiana; the county of El Paso, Tex.; and two individuals who don’t want to buy health insurance?"
I’ll Never Be Ashamed of My Abortion,I want my daughters to have the same agency over their bodies as I did. I’m worried they won’t.,https://www.nytimes.com/2020/01/22/opinion/roe-v-wade-anniversary.html,2020-01-22,Opinion,By Ylonda Gault,"I am medium-brown-skinned — neither rich dark chocolate nor creamy cafe au lait. I am a B cup and have, for a black girl, a barely there butt. I have flat feet and oily skin. And like so many American women of reproductive age, I’ve had an abortion."
"In Presidential First, Trump Will Attend Anti-Abortion March for Life",The first in-person presidential appearance at the annual event in its 47-year history is President Trump’s latest gesture of support for a cause dear to his evangelical base.,https://www.nytimes.com/2020/01/22/us/politics/trump-march-for-life.html,2020-01-23,U.S.,By Michael Crowley,"WASHINGTON — President Trump plans to address an annual rally of anti-abortion demonstrators on Friday in Washington, in what would be the first appearance by a sitting president at the March for Life, one of the movement’s marquee events."
A Show of Artists Galvanized by the Abortion Debate,“Abortion Is Normal” is the kind of exhibition that energizes supporters and upsets opponents. But it’s exciting for just being a good art show.,https://www.nytimes.com/2020/01/23/arts/design/abortion-arsenal-contemporary.html,2020-01-23,Arts,By Jillian Steinhauer,"Its organizers call it an “emergency exhibition,” prompted by a series of challenges to abortion rights. The premise of the show, titled “Abortion Is Normal,” is that a procedure that’s been subject to so much controversy should instead be accepted as an ordinary part of health care."
"Trump Tells Anti-Abortion Marchers, ‘Unborn Children Have Never Had a Stronger Defender in the White House’",Mr. Trump was the first sitting president to speak in person at the annual March for Life.,https://www.nytimes.com/2020/01/24/us/politics/trump-abortion-march-life.html,2020-01-24,U.S.,"By Elizabeth Dias, Annie Karni and Sabrina Tavernise",WASHINGTON — Demonstrators flooded the National Mall on Friday morning in anticipation of a historic moment for the anti-abortion movement: the first sitting president to address the annual March for Life in person.
Trump Administration Threatens California Over Abortion,"If the state doesn’t stop requiring private insurers to cover abortions, the administration said it will cut off federal funding for certain health programs.",https://www.nytimes.com/2020/01/24/health/abortion-california-insurance.html,2020-01-24,Health,By Pam Belluck,The Trump administration threatened on Friday to withhold federal money from California if the state does not drop its requirement that private insurers cover abortions.
Trump Tries to Upstage Drama in the Senate With His Own Programming,"While Democrats and Republicans debate whether he should be convicted and removed from office, the president has offered up an alternative menu of events and priorities.",https://www.nytimes.com/2020/01/24/us/politics/trump-impeachment-strategy.html,2020-01-25,U.S.,By Peter Baker,"WASHINGTON — On the chilly grounds of the National Mall, within sight of the gleaming white Capitol where he is on trial for high crimes and misdemeanors, President Trump on Friday rallied abortion opponents gathered for their annual march and equated their battle with his own."
How Abortion Warps Our Politics,The growing extremism of the debate alienates many people on the left and right.,https://www.nytimes.com/2020/02/05/opinion/abortion-trump.html,2020-02-06,Opinion,By Gracy Olmstead,"Where will abortion opponents stand in 2020? President Trump recently made his bid for their votes, becoming the first president to speak in person at the annual March for Life in Washington, an event held since 1974. Two days later, a Democratic presidential hopeful, Pete Buttigieg, told a woman who called herself a “proud pro-life Democrat” that he would not support more moderate abortion language in the Democratic National Committee platform — basically suggesting that, on this issue, she will not find affirmation or support from her party."
Democrats Discuss Abortion Rights in Depth at Debate,"The candidates had their most significant discussion about abortion in any debate yet, tackling an issue whose absence from previous debates has angered advocates.",https://www.nytimes.com/2020/02/07/us/politics/abortion-litmus-test-debate.html,2020-02-08,U.S.,By Stephanie Saul,"In their most substantive debate statements to date on abortion, several of the leading Democratic presidential candidates reaffirmed on Friday night that if elected, they would put forward only Supreme Court nominees who supported Roe v. Wade, the 1973 Supreme Court decision establishing a woman’s right to abortion."
How Do You Explain the History of Reproductive Rights to Teenagers?,"With a clear voice and a bit of suspense, Karen Blumenthal’s “Jane Against the World” charts the rocky road that led to legal abortion in the United States.",https://www.nytimes.com/2020/02/20/books/review/jane-against-the-world-karen-blumenthal.html,2020-02-20,Books,By Elizabeth Rusch,
"New Bid to Legalize Abortion in Argentina, With President’s Backing","Activists came close in 2018. This year, President Alberto Fernández is on their side and is expected to present a legalization bill to Congress.",https://www.nytimes.com/2020/02/22/world/americas/abortion-argentina.html,2020-02-22,World,By Daniel Politi,"BUENOS AIRES — Abortion rights activists in Argentina have formally started the second round in their effort to advance reproductive rights in the land of Pope Francis, buoyed by the hope that the country’s transformed political landscape will put their goal within reach."
"McConnell, Looking to Energize Social Conservatives, Forces Votes on Abortion","After months of legislative inactivity, Senator Mitch McConnell, the majority leader, has scheduled votes on two abortion-related bills. Democrats argue they are attacks on women’s reproductive rights.",https://www.nytimes.com/2020/02/24/us/politics/abortion-bill-votes.html,2020-02-25,U.S.,By Sheryl Gay Stolberg,"WASHINGTON — Senator Mitch McConnell is about to plunge the Senate into the nation’s culture wars with votes on bills to sharply restrict access to late-term abortions and threaten some doctors who perform them with criminal penalties, signaling that Republicans plan to make curbing a woman’s right to terminate a pregnancy a central theme of their re-election campaigns this year."
Mediating the Politics of Abortion,"Readers debate religion, policy, choice and freedom.",https://www.nytimes.com/2020/02/25/opinion/letters/abortion-politics.html,2020-02-25,Opinion,,To the Editor:
Democrats Block Abortion-Related Bills as Republicans Seek Election Advantage,"Senator Mitch McConnell, the majority leader, broke a streak of legislative inaction to schedule votes on bills to bar most abortions after 20 weeks and mandate care for babies born after abortions.",https://www.nytimes.com/2020/02/25/us/politics/democrats-abortion-bills-republicans.html,2020-02-25,U.S.,By Sheryl Gay Stolberg,"WASHINGTON — Senate Democrats on Tuesday blocked action on legislation that would ban almost all abortions after 20 weeks of pregnancy and impose criminal penalties on doctors who fail to aggressively treat babies born after abortions, casting a pair of votes that Republicans hope to use to their advantage in the 2020 elections."
Elizabeth Warren Challenges Michael Bloomberg on ‘Kill It’ Abortion Comment,"Ms. Warren called out Mr. Bloomberg on his history of crude and sexist comments at the Democratic debate in Charleston, S.C.",https://www.nytimes.com/2020/02/25/us/politics/michael-bloomberg-pregnancy-employee.html,2020-02-26,U.S.,By Nick Corasaniti and Maggie Astor,"In a moment that briefly froze the debate stage in Charleston, S.C., on Tuesday, Senator Elizabeth Warren explained why she thought Michael R. Bloomberg was the “riskiest” candidate for the Democratic Party to nominate, with a pointed recitation of his history of crude and sexist comments."
How Will Trump’s Supreme Court Remake America?,"On abortion, gun rights and more, the future could be determined by how fully the court’s new conservative majority embraces a rigid understanding of the Constitution.",https://www.nytimes.com/2020/02/27/magazine/how-will-trumps-supreme-court-remake-america.html,2020-02-27,Magazine,By Emily Bazelon,"In July 2013, Aimee Stephens wrote a letter to her co-workers and her employer at a funeral home in the Detroit area, where she had worked for six years. “What I must tell you is very difficult for me and is taking all the courage I can muster,” she told them. “With the support of my loving wife, I have decided to become the person that my mind already is.” After four years of counseling, Stephens explained that she was transitioning from being a man to being a woman, and so, at the end of an upcoming vacation, she would come back to work as her “true self,” wearing women’s business attire. Stephens’s boss told her that her self-presentation would harm his clients and business, and he fired her."
The Curious Case of the Strangely Similar Movie Titles,“Never Rarely Sometimes Always” is not “Sometimes Always Never.” But the teams behind these indies didn’t consider changing names. Why not?,https://www.nytimes.com/2020/02/27/movies/dueling-movie-titles.html,2020-02-28,Movies,By Ashley Spencer,"Despite what your brain may tell you, “Never Rarely Sometimes Always” is not the same movie as “Sometimes Always Never.” The former (in theaters March 13) is a neo-realistic drama that examines the hurdles a 17-year-old Pennsylvania girl faces to get an abortion in New York City. The latter (in theaters April 17) is a whimsical British dramedy starring a Scrabble-obsessed Bill Nighy on a hunt for his estranged son."
Abortion Case in Colombia Could Be a Landmark in Latin America,"A ruling in the case, which has reopened a fierce debate over the procedure’s legal and moral implications, could have repercussions across the region.",https://www.nytimes.com/2020/03/01/world/americas/abortion-colombia.html,2020-03-01,World,By Julie Turkewitz,"BOGOTÁ, Colombia — A top court in Colombia is expected to rule in the coming days on whether to permit abortion during the first months of a pregnancy, a decision that could be a landmark in Latin America and have a ripple effect across a region known for its restrictive laws."
Trump’s High Court Hears Its First Abortion Case,The Supreme Court will decide on yet another bid to curtail women’s rights masquerading as a safety measure.,https://www.nytimes.com/2020/03/02/opinion/trumps-high-court-hears-its-first-abortion-case.html,2020-03-02,Opinion,By The Editorial Board,"Louisiana, with nearly one million women of reproductive age, now has only three abortion clinics. A woman who chooses to have an abortion — as about a quarter of American women do — must make her way to one of those facilities, where she will be legally required to sit through counseling intended to discourage her from having the procedure as well as an ultrasound that must be shown and described in detail to her. She then must wait at least 24 hours before returning to the clinic for the procedure. If she is a Medicaid patient, her bill will most likely be hundreds of dollars paid out of pocket."
