bigram,n
of the,5816
in the,4997
to the,3306
supreme court,2518
on the,2493
pro life,2423
roe v,2048
v wade,2029
in a,1995
that the,1992
for the,1833
fox news,1819
the supreme,1789
an abortion,1647
the state,1588
and the,1530
right to,1508
to be,1482
at the,1227
on abortion,1192
by the,1135
is a,1102
the law,1094
with the,1087
as a,1077
planned parenthood,1076
the abortion,1058
of a,1005
from the,986
to abortion,974
abortion rights,963
the court,960
it is,919
of abortion,911
after the,820
the u.s,813
according to,803
she said,797
news digital,796
health care,771
the bill,771
said the,766
access to,760
to a,759
told fox,752
should be,748
going to,739
abortion is,735
the right,718
this is,698
the first,682
abortion and,658
said in,657
to make,654
one of,646
the issue,638
is not,632
will be,623
of pregnancy,622
is the,619
the country,618
as the,610
to protect,610
for a,604
would be,603
abortion ban,599
that would,598
he said,597
has been,595
about the,583
a statement,582
have been,574
out of,568
the pro,566
abortion in,554
abortion access,545
anti abortion,544
pro choice,544
to have,541
to get,540
more than,535
up to,535
with a,524
i think,521
it was,519
the most,503
over the,491
of roe,485
and that,483
across the,482
for abortion,482
for life,478
they are,476
did not,473
pro abortion,472
does not,469
want to,464
to do,462
to this,447
and a,446
have a,445
that it,434
have to,428
said that,426
the case,419
we have,417
a woman,415
there is,415
that is,414
that he,412
in an,405
the states,402
on a,401
the procedure,401
the same,401
if the,397
life of,396
u.s supreme,396
we are,396
the new,390
last year,385
that they,385
to take,384
that abortion,382
women and,381
weeks of,380
the mother,377
be a,374
the decision,371
attorney general,369
as well,366
new york,366
contributed to,365
under the,365
need to,363
in this,358
to an,353
the house,352
the life,351
able to,349
part of,347
the democratic,347
would have,347
since the,342
which is,342
and other,341
the senate,340
this report,340
who are,338
and their,336
there are,336
at least,335
before the,334
to overturn,333
women who,332
that a,330
and i,329
six weeks,329
their own,328
abortion providers,327
the state's,323
abortions in,320
she was,319
the biden,319
in their,318
it would,317
against the,316
that we,316
can be,315
this year,315
was a,315
the united,314
abortion the,311
15 weeks,310
vice president,309
during the,308
of their,308
but the,307
for women,303
a new,302
majority of,302
united states,299
decision to,298
of women,296
reproductive health,292
supreme court's,292
overturned roe,291
ban on,290
the american,288
by a,287
have the,287
last week,287
the constitution,287
not be,286
the republican,285
those who,285
law that,284
the unborn,283
former president,281
overturn roe,281
the people,281
that she,280
such as,279
at a,278
white house,277
of state,276
support for,276
do not,275
v jackson,275
could be,273
constitutional right,272
into the,272
of our,271
a lot,270
said he,270
the time,270
life and,269
said she,269
number of,268
of americans,268
abortions after,267
continue to,267
dobbs v,267
of this,267
said it,267
late term,265
the federal,265
to fox,265
i was,264
the texas,264
restrictions on,263
health and,262
the fda,262
associated press,258
the ruling,258
a federal,257
a state,257
abortion after,257
abortion clinics,256
argued that,256
when the,255
has a,252
as an,250
reproductive rights,250
well as,250
a bill,248
the gop,248
earlier this,247
the associated,247
is an,246
president biden,245
the ballot,245
a pregnancy,243
are not,243
court overturned,243
women's health,242
abortion as,241
and we,241
if they,240
is that,240
issue of,240
not a,240
after a,239
abortion restrictions,238
because of,238
draft opinion,238
other states,238
a pro,237
abortion clinic,237
abortion laws,237
department of,237
trying to,237
in texas,236
the measure,236
abortion pills,234
and it,234
to provide,234
women in,234
president of,233
court to,232
following the,232
abortion to,231
be the,231
state of,230
the womb,230
the dobbs,228
states to,227
women’s health,227
outside the,226
health organization,225
to pass,225
to go,224
will not,224
it will,223
supreme court’s,223
the state’s,223
when it,223
have an,222
people who,222
exceptions for,221
in his,221
of life,220
she added,220
the majority,220
pregnancy centers,219
that are,219
we will,219
if you,218
abortion bans,217
this week,217
in our,216
life is,216
abortion should,215
through the,215
he would,214
he was,213
on tuesday,213
to life,213
who have,213
abortion law,212
last month,212
about abortion,211
states that,211
lot of,210
abortion on,209
and to,209
the lawsuit,209
court decision,208
to help,208
