bigram,n
supreme court,2518
pro life,2423
planned parenthood,1076
abortion rights,963
health care,771
abortion ban,599
abortion access,545
anti abortion,544
pro choice,544
pro abortion,472
abortion providers,327
15 weeks,310
vice president,309
reproductive health,292
supreme court's,292
white house,277
late term,265
abortion clinics,256
reproductive rights,250
president biden,245
court overturned,243
women's health,242
abortion restrictions,238
draft opinion,238
abortion clinic,237
abortion laws,237
abortion pills,234
women’s health,227
health organization,225
supreme court’s,223
pregnancy centers,219
abortion bans,217
abortion law,212
court decision,208
biden administration,207
life movement,205
ban abortion,196
abortion care,195
court ruling,194
born alive,192
dobbs decision,174
federal law,174
kamala harris,174
week abortion,173
president trump,172
unborn children,171
abortion pill,170
15 week,169
democratic party,169
donald trump,166
court's decision,165
protection act,163
rape incest,163
midterm elections,161
south carolina,159
texas law,159
human life,157
jackson women's,150
press contributed,149
pro lifers,142
term abortions,142
abortion services,139
joe biden,139
north carolina,137
court’s decision,134
20 weeks,133
constitutional amendment,130
abortion industry,128
justice samuel,126
pregnant women,126
social media,126
fetal heartbeat,123
american people,122
washington post,122
12 weeks,121
washington d.c,121
banning abortion,118
abortion issue,117
abortion provider,117
unborn child,117
24 weeks,116
term abortion,115
jackson women’s,114
protect abortion,114
reproductive freedom,114
republican gov,113
week ban,113
executive director,111
abortion policy,109
hyde amendment,109
life america,109
abortion activists,108
chief justice,108
human rights,107
samuel alito,106
support abortion,106
catholic church,105
birth control,104
human services,104
federal government,100
medical care,100
medication abortion,100
court ruled,98
crisis pregnancy,98
wade decision,98
court justices,97
democratic gov,97
abortion drugs,96
oral arguments,95
president donald,95
health protection,94
president kamala,94
justice department,93
house speaker,92
mississippi law,91
perform abortions,91
district court,90
ron desantis,90
civil rights,89
legalized abortion,89
west virginia,89
brett kavanaugh,88
law banning,88
republican led,88
restrict abortion,88
abortion debate,87
immediately respond,87
public health,87
abortion procedures,86
cardiac activity,86
care providers,86
chemical abortion,86
life activists,85
legal abortion,82
abortion opponents,81
life advocates,81
national abortion,80
republican party,80
abortion advocates,79
family planning,79
lower court,79
texas abortion,79
abortion nationwide,77
elected representatives,77
fetal viability,77
anthony pro,76
ballot measure,76
federal judge,76
life democrats,76
parental consent,76
marjorie dannenfelser,75
press release,75
campaign trail,74
covid 19,74
leaked draft,74
abortion survivors,73
gov ron,73
medication abortions,73
conservative majority,72
federal abortion,72
law enforcement,72
president joe,72
south dakota,72
john roberts,71
nancy pelosi,71
appeals court,70
court's ruling,70
life activist,69
justice john,68
rights advocates,68
unborn babies,68
women seeking,68
abortion related,67
conservative justices,67
district judge,67
fetal tissue,67
free speech,67
medical professionals,67
