unigram,n
abortion,17331
life,5164
court,4684
law,3829
pro,3732
women,3408
abortions,3112
supreme,3052
health,2480
rights,2333
decision,2191
wade,2073
pregnancy,2057
president,2056
people,2025
ban,1909
care,1908
democrats,1882
bill,1799
issue,1674
access,1609
republican,1563
weeks,1560
support,1514
voters,1369
texas,1316
legal,1296
biden,1267
laws,1243
planned,1236
republicans,1231
democratic,1222
time,1200
federal,1186
week,1182
trump,1171
ruling,1170
house,1165
medical,1155
parenthood,1099
vote,979
country,977
justice,958
senate,950
reproductive,941
choice,917
amendment,906
woman,903
restrictions,868
opinion,867
statement,856
protect,852
majority,833
digital,823
children,809
added,793
act,777
americans,775
day,747
election,740
legislation,733
overturned,733
clinic,727
party,726
constitution,725
unborn,724
catholic,719
pregnant,713
anti,712
national,711
human,709
constitutional,708
called,703
public,694
political,686
services,684
providers,679
gov,669
mother,663
bans,652
child,651
effect,648
dobbs,646
america,641
patients,641
15,637
report,634
conservative,632
campaign,625
gop,615
government,610
passed,603
lawmakers,595
sen,594
justices,593
doctors,587
american,586
baby,579
left,577
attorney,572
clinics,570
press,565
organization,560
administration,559
birth,559
term,553
babies,549
procedure,544
judge,542
decisions,538
media,537
centers,536
policy,535
lives,531
tuesday,531
fetal,524
court's,523
provide,521
issues,519
rape,519
freedom,515
harris,515
overturn,512
measure,511
debate,507
democrat,505
wednesday,504
month,499
exceptions,497
lawsuit,497
ballot,493
women’s,491
rep,483
continue,481
argued,480
ohio,479
friday,476
late,472
white,468
control,465
center,461
women's,456
family,454
recent,453
department,452
religious,450
months,449
overturning,447
draft,445
march,438
signed,438
washington,437
office,436
2022,435
heartbeat,431
action,425
june,425
movement,424
incest,423
position,423
post,417
protections,416
thursday,416
church,412
change,410
person,410
congress,409
born,408
extreme,406
black,401
elections,401
court’s,399
governor,399
seeking,399
california,398
allowed,396
legislature,396
continued,395
million,395
activists,394
earlier,389
monday,387
protection,387
united,384
november,381
state's,381
jackson,380
found,379
fight,378
contributed,377
director,376
taking,376
live,370
kansas,368
drug,366
florida,364
fda,360
matter,357
advocates,356
led,355
south,354
based,352
pills,351
voted,349
medication,347
stand,347
1,346
50,346
question,344
emergency,343
immediately,342
20,341
safe,341
free,339
mississippi,339
tweeted,336
mifepristone,335
fetus,334
faith,333
power,333
vice,333
claimed,331
nationwide,331
leaders,328
committee,325
pass,325
viability,324
days,323
past,322
candidates,319
protecting,319
funding,318
pregnancies,318
filed,317
illegal,316
2020,313
1973,311
social,311
risk,310
arizona,309
similar,309
comment,308
hold,307
set,307
civil,306
line,306
noted,306
10,305
poll,304
carolina,301
choose,300
12,298
mothers,298
policies,298
death,296
police,295
reported,293
candidate,292
24,291
nation,291
moment,290
north,290
process,290
decades,289
percent,289
response,289
stop,289
banning,288
doctor,288
executive,288
limits,287
landmark,286
virginia,285
district,284
feel,284
top,282
lot,281
travel,280
elected,279
families,278
ago,277
expected,277
letter,277
move,277
information,276
procedures,276
previously,274
world,271
history,270
arguments,269
fundamental,269
michigan,269
proposed,268
2024,266
host,266
major,266
politicians,266
womb,266
officials,265
rule,265
university,265
announced,262
level,262
local,262
safety,262
body,261
crisis,261
personal,261
precedent,261
home,260
joe,260
pill,260
remains,260
state’s,260
alive,258
courts,258
drugs,258
violence,258
dr,257
views,257
makes,256
decide,253
interview,253
save,253
current,252
request,251
votes,251
efforts,250
approved,249
presidential,248
challenge,247
georgia,246
inflation,246
potential,246
midterm,245
supporters,245
dangerous,244
recently,243
call,242
ruled,242
2019,241
favor,241
i’m,241
liberal,241
voting,241
casey,240
forced,240
perform,240
providing,240
research,240
crime,239
half,238
agenda,237
banned,237
means,237
released,237
desantis,236
legislative,236
protected,236
johnson,235
reason,235
remain,235
view,235
alito,234
calling,234
future,234
limit,234
blocked,233
language,233
win,233
due,232
failed,232
parents,231
race,231
opponents,230
radical,230
comments,228
