bigram,n
supreme court,2995
abortion rights,2445
anti abortion,1380
health care,731
pro life,589
planned parenthood,556
abortion access,505
reproductive rights,473
supreme court’s,447
ezra klein,413
abortion ban,405
abortion providers,399
donald trump,354
white house,343
texas law,339
chief justice,337
abortion bans,324
abortion pills,322
women’s health,308
pro choice,296
reproductive health,290
court’s decision,283
medication abortion,281
president biden,268
vice president,268
draft opinion,260
court decision,255
15 weeks,252
abortion restrictions,245
abortion laws,236
birth control,234
kamala harris,233
abortion law,229
ban abortion,219
abortion movement,217
abortion clinics,214
court overturned,209
republican party,199
abortion opponents,190
president donald,188
judge barrett,185
abortion care,178
law professor,172
north carolina,170
legal abortion,168
social media,160
abortion clinic,159
biden administration,159
health organization,158
federal government,157
court ruling,155
justice alito,155
women’s rights,153
jackson women’s,150
democratic party,148
abortion activists,143
mississippi law,142
federal law,141
abortion services,138
pregnant women,138
seeking abortions,136
chief executive,135
trump administration,135
24 weeks,133
women seeking,129
amy coney,128
pregnant woman,128
support abortion,128
justice department,127
executive director,125
fetal viability,125
banning abortion,123
court justices,123
sex marriage,123
s.b 8,122
public opinion,119
coney barrett,118
rights advocates,118
law school,117
restrict abortion,117
public health,115
justice thomas,114
midterm elections,114
voting rights,114
jan 6,113
justice john,113
protect abortion,113
appeals court,112
child care,110
mental health,110
justice roberts,109
rights supporters,109
guttmacher institute,108
civil rights,107
conservative majority,107
justice samuel,107
majority opinion,105
week ban,103
court’s ruling,102
human rights,102
law enforcement,102
woman’s health,102
president kamala,101
ruth bader,100
life movement,99
president trump,98
15 week,96
clarence thomas,94
american women,93
2020 election,92
federal court,92
leaked draft,92
south carolina,92
reproductive freedom,91
restrictive abortion,91
week abortion,91
human life,90
national abortion,90
west virginia,89
affordable care,88
district court,88
joe biden,88
latin america,88
presidential election,88
undue burden,87
12 weeks,86
late term,86
law banning,86
rights activists,85
60 percent,83
climate change,83
supports abortion,83
family planning,82
south dakota,82
bader ginsburg,81
ban abortions,81
care act,81
14th amendment,80
cardiac activity,80
low income,80
perform abortions,80
ballot measure,79
medical care,79
trigger laws,79
catholic church,78
jd vance,78
oral arguments,78
