unigram,n
abortion,18030
court,6263
women,5106
law,4506
rights,4454
supreme,3464
people,3460
abortions,2963
trump,2891
life,2776
health,2504
texas,2381
justice,2311
decision,2304
republican,2200
president,2176
pregnancy,2076
legal,2068
care,1968
voters,1927
democrats,1880
time,1844
access,1789
ban,1770
wade,1739
weeks,1719
political,1713
issue,1600
anti,1599
support,1569
republicans,1476
conservative,1456
laws,1433
federal,1407
percent,1361
country,1345
democratic,1337
biden,1204
election,1201
vote,1195
american,1170
party,1146
majority,1142
public,1130
week,1118
reproductive,1110
medical,1088
opinion,1081
pro,1080
woman,1078
court’s,1076
ruling,1075
campaign,1069
harris,1067
constitutional,1056
justices,1026
women’s,992
house,987
senate,986
bill,973
national,967
movement,951
judge,944
called,929
patients,920
i’m,918
pregnant,910
bans,905
united,895
procedure,876
government,859
restrictions,844
control,835
there’s,830
dr,817
constitution,816
day,816
pills,810
providers,810
child,794
question,791
doctors,785
issues,779
policy,775
children,769
white,769
lot,763
americans,759
family,751
choice,744
clinic,737
social,730
debate,704
left,699
donald,695
overturned,693
clinics,686
effect,686
recent,686
planned,685
we’re,685
administration,678
passed,677
world,673
they’re,668
person,664
america,663
catholic,659
human,654
power,654
home,653
amendment,652
politics,651
found,643
change,642
school,641
protect,640
state’s,640
legislation,639
trump’s,638
senator,630
term,623
chief,618
mother,612
2020,610
month,610
act,605
overturn,599
parenthood,578
activists,576
lives,576
didn’t,572
months,572
birth,569
black,560
california,560
university,559
measure,557
seeking,555
decades,554
ballot,553
medication,548
days,540
draft,536
decisions,532
congress,530
professor,529
doesn’t,526
sex,525
past,524
half,523
pregnancies,523
washington,523
history,519
15,518
courts,518
hard,518
future,516
statement,514
services,509
democrat,508
race,507
center,505
friday,502
you’re,499
fight,496
provide,494
lawmakers,492
college,491
mississippi,491
10,490
feel,487
organization,478
ago,477
governor,476
moment,474
florida,473
religious,471
set,469
questions,468
officials,466
rape,466
travel,465
executive,464
office,464
overturning,464
illegal,462
contraception,458
candidates,456
fetal,454
can’t,452
exceptions,452
risk,448
presidential,446
church,443
liberal,443
action,442
million,441
barrett,438
conservatives,438
leaders,438
means,437
ezra,436
live,436
data,435
taking,434
win,433
argument,429
tuesday,429
led,428
thomas,428
woman’s,428
added,425
line,425
idea,423
klein,420
baby,419
city,417
challenge,416
district,415
fetus,415
supporters,415
based,413
2022,412
expected,412
late,410
opponents,409
south,408
talk,408
position,407
move,406
gov,404
voting,404
elections,402
private,399
director,398
policies,396
difficult,388
death,387
emergency,386
wednesday,386
process,385
50,383
personal,381
matter,379
voted,379
gender,377
arguments,375
call,374
sense,373
views,372
allowed,371
wrong,371
pandemic,370
dobbs,369
economic,369
safe,369
attorney,368
coming,368
decided,368
media,368
story,367
view,367
real,366
sort,363
2016,362
judges,361
viability,361
ohio,359
representative,358
similar,358
post,357
book,356
doctor,353
running,352
legislature,350
measures,350
stop,349
major,348
department,347
reason,344
votes,344
makes,343
pass,343
research,343
society,341
hear,340
polls,338
drug,337
alito,336
20,335
continue,335
john,335
money,335
freedom,333
recently,333
role,332
hospital,331
i’ve,331
editor,329
rule,329
earlier,327
top,327
won,327
helped,326
vice,326
plan,325
incest,322
level,321
candidate,320
judicial,320
countries,318
effort,318
enforcement,318
fall,318
local,318
signed,318
argued,316
efforts,315
vance,315
banned,314
monday,314
primary,314
understand,314
1973,313
job,313
talking,313
experience,311
thursday,311
decide,310
november,309
interview,308
casey,307
force,307
lost,307
companies,306
focus,306
night,306
century,303
close,303
supported,303
sign,302
banning,301
louisiana,300
true,300
civil,298
parents,298
single,298
thinking,298
roberts,297
marriage,294
students,294
choose,293
gun,293
june,293
potential,293
free,292
nation,292
common,291
moral,291
protections,291
isn’t,288
arizona,287
leave,287
body,286
pay,286
protection,286
committee,285
sexual,285
happen,284
north,284
victory,284
held,283
privacy,283
elected,281
education,280
hope,280
patient,280
simply,280
virginia,280
advocates,279
female,279
lead,279
appeals,278
precedent,277
response,277
run,277
immediately,276
age,275
message,275
opposition,275
save,274
answer,273
he’s,273
information,273
2019,272
24,272
6,272
police,272
march,270
carolina,268
favor,268
include,268
system,268
hold,267
politicians,267
restrict,267
fear,266
legislative,266
established,265
evidence,265
1,264
bring,264
we’ve,264
kamala,263
obtain,263
oklahoma,262
reasons,262
result,260
war,260
8,259
biden’s,259
company,259
feminist,259
lines,259
opposed,259
citizens,258
hours,258
attention,257
current,257
georgia,257
heard,257
read,257
2018,256
final,256
unborn,256
families,255
poll,255
county,254
jackson,254
seek,252
filed,251
follow,250
community,249
employees,249
f.d.a,249
play,249
reported,249
changed,248
criminal,248
fund,248
sought,248
focused,247
leaked,247
prevent,247
quickly,247
approach,246
pennsylvania,246
mexico,245
forced,243
forward,243
pill,243
study,243
class,242
deeply,242
practice,242
push,242
red,242
safety,242
significant,242
block,241
considered,241
mifepristone,241
offer,241
step,241
democracy,240
leader,240
michigan,240
morning,240
period,240
restrictive,240
start,240
strategy,240
12,239
ability,239
leading,239
increasingly,237
legislatures,236
christian,235
concerns,235
economy,235
issued,235
living,235
stand,235
lower,234
crisis,233
moved,233
terms,233
approved,232
coalition,232
remains,232
providing,231
nation’s,230
sue,230
business,229
consequences,229
limit,229
wing,229
report,228
lawyers,227
speech,227
adding,226
brought,226
culture,226
growing,226
lawyer,226
perform,226
review,226
started,226
effectively,225
front,225
organizations,225
strong,225
struck,225
written,225
4,224
allowing,224
border,224
circumstances,224
equality,224
experts,224
lawsuit,224
list,224
millions,224
spent,224
conversation,223
equal,223
kavanaugh,223
required,223
violence,223
low,222
progressive,222
popular,220
crime,219
faith,219
create,218
30,217
ad,217
enacted,217
failed,217
joined,217
published,217
related,217
central,216
included,216
institute,216
plans,215
short,215
appointed,214
ginsburg,214
love,214
stories,214
friends,213
protecting,213
total,212
unconstitutional,212
happened,211
heart,211
language,211
limits,211
seat,211
challenges,210
died,210
remain,210
trimester,210
word,210
event,209
reach,209
words,209
bishops,208
created,208
poor,208
require,208
west,208
what’s,208
bad,207
feminism,207
calling,206
era,206
record,206
results,206
bills,205
key,205
moderate,205
online,205
status,205
agree,204
immigration,204
coronavirus,203
country’s,203
hand,203
joe,203
protected,203
appeal,202
declined,202
parties,202
agenda,201
financial,201
tax,201
wasn’t,201
bit,200
father,200
hearing,200
middle,200
oppose,200
receive,200
today’s,200
battle,199
concern,199
continued,199
rules,199
supports,199
individual,198
insurance,198
summer,198
born,197
chance,197
fundamental,197
limited,197
nationwide,197
nominee,197
noted,197
shift,197
team,197
calls,194
dissent,194
extreme,194
procedures,194
share,194
spoke,194
claim,193
threat,193
19,192
2021,192
workers,192
critical,191
dangerous,191
appeared,190
confirmation,190
party’s,190
test,190
impact,189
meant,189
mind,189
pretty,189
suggested,189
article,188
believed,188
missouri,188
bodies,187
covid,187
denied,187
husband,187
mass,187
takes,187
attack,186
cost,186
goal,186
senators,186
activist,185
address,185
conference,185
food,185
idaho,185
program,185
amy,184
authority,184
opportunity,184
performed,184
races,184
reality,184
received,184
standing,184
announced,183
congressional,183
offered,183
form,182
terminate,182
2017,181
40,181
mothers,181
special,181
giving,180
polling,180
cover,179
directly,179
girls,179
writes,179
5,178
broad,178
carry,178
deep,178
demand,178
let’s,178
personhood,178
situation,178
circuit,177
david,177
inflation,177
mail,177
roughly,177
speak,177
ahead,176
babies,176
blue,176
here’s,176
imagine,176
income,176
raised,176
costs,175
easy,175
increase,175
stage,175
approval,174
aren’t,174
burden,174
physical,174
proposed,174
series,174
involved,173
rally,173
schools,173
september,173
she’s,173
subject,173
autonomy,172
effective,172
moving,172
thousands,172
rate,171
standard,171
centers,170
expect,170
facing,170
friend,170
legislators,170
midterm,170
requires,170
trigger,170
60,169
decade,169
ensure,169
hospitals,169
jr,169
provided,169
staff,169
god,168
provider,168
wisconsin,168
argue,167
catholics,167
climate,167
expand,167
project,167
blocked,166
lose,166
precedents,166
swing,166
values,166
worried,166
agreed,165
head,165
includes,165
jan,165
sued,165
ultimately,165
choices,164
daughter,164
dozen,164
g.o.p,164
nomination,164
powerful,164
broader,163
politically,163
student,163
wouldn’t,163
base,162
conception,162
drugs,162
lawsuits,162
miscarriage,162
wife,162
allies,161
cultural,161
francis,161
liberty,161
pushing,161
religion,161
13,160
avoid,160
complications,160
expressed,160
kate,160
planning,160
suit,160
trust,160
concerned,159
feels,159
protests,159
colleagues,158
couldn’t,158
harder,158
kids,158
labor,158
male,158
speaking,158
treatment,158
anthony,157
challenging,157
direction,157
funding,157
ruled,157
video,157
board,156
won’t,156
ads,155
lack,155
return,155
3,154
couple,154
deal,154
divided,154
enforce,154
leaving,154
options,154
ready,154
supporting,154
entire,153
largest,153
partisan,153
pushed,153
request,153
service,153
meeting,152
protesters,152
twitter,152
books,151
email,151
landmark,151
respond,151
appears,150
direct,150
fellow,150
liberals,150
matters,150
transgender,150
waiting,150
18,149
activity,149
arguing,149
gay,149
letter,149
murder,149
rest,149
theory,149
wait,149
capitol,148
cast,148
guns,148
pressure,148
rare,148
security,148
coverage,147
defend,147
defense,147
huge,147
positions,147
stay,147
2,146
building,146
desantis,146
meaning,146
mental,146
pre,146
respect,146
samuel,146
susan,146
backlash,145
biggest,145
comment,145
ground,145
previous,145
radical,145
raise,145
wave,145
22,144
harris’s,144
medicine,144
putting,144
refused,144
san,144
spending,144
affect,143
claims,143
hundreds,143
impose,143
people’s,143
raising,143
voter,143
beginning,142
kansas,142
leadership,142
potentially,142
resources,142
rulings,142
14,141
bret,141
kennedy,141
path,141
served,141
writing,141
actions,140
author,140
brown,140
explicitly,140
gail,140
11,139
career,139
controlled,139
happening,139
heartbeat,139
instance,139
obama,139
2024,138
benefits,138
i’ll,138
agency,137
conditions,137
determine,137
intended,137
july,137
losing,137
mcconnell,137
newsletter,137
released,137
campaigns,136
finally,136
funds,136
gorsuch,136
increased,136
regulation,136
severe,136
yeah,136
coney,135
effects,135
exception,135
impossible,135
paid,135
secretary,135
studies,135
sunday,135
writer,135
account,134
advance,134
compared,134
discrimination,134
network,134
plaintiffs,134
previously,134
risks,134
winning,134
begin,133
communion,133
holding,133
lived,133
michelle,133
repeatedly,133
battleground,132
energy,132
learned,132
official,132
s.b,132
separate,132
telemedicine,132
union,132
vulnerable,132
affordable,131
attempt,131
color,131
completely,131
danger,131
faced,131
medicaid,131
named,131
opinions,131
rates,131
residents,131
serve,131
son,131
steps,131
